№,Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
213,Livvi-Karelian,Karjalan,olo,"3,86","10,542","31,973",2,"5,954",13,0,9,1000
214,Friulian,Furlan,fur,"3,758","8,578","170,27",2,"13,126",16,318,33,1000
215,Romansh,Rumantsch,rm,"3,754","9,593","162,877",3,"18,436",16,51,41,1000
216,Ladino,Dzhudezmo,lad,"3,605","12,943","208,81",5,"19,549",25,23,108,1000
217,Anglo-Saxon,Ænglisc,ang,"3,58","16,232","205,213",2,"117,394",46,300,158,1000
218,Goan Konkani,गोंयची कोंकणी / Gõychi Konknni,gom,"3,548","9,024","206,324",4,"8,559",12,0,54,1000
219,Komi-Permyak,Перем Коми (Perem Komi),koi,"3,443","10,915","59,64",1,"7,845",11,0,26,1000
220,Extremaduran,Estremeñu,ext,"3,362","7,522","115,652",1,"15,968",11,0,24,1000
221,Tuvan,Тыва,tyv,"3,358","11,118","43,302",1,"8,031",15,0,21,1000
222,Lower Sorbian,Dolnoserbski,dsb,"3,323","11,193","142,726",1,"17,143",21,0,72,1000
223,Kinyarwanda,Ikinyarwanda,rw,"3,311","9,33","85,723",1,"11,051",33,0,30,1000
224,Doteli,डोटेली,dty,"3,305","19,13","237,292",3,"5,452",17,3,284,1000
225,Tumbuka,chiTumbuka,tum,"3,278","5,132","28,01",1,"7,137",17,0,2,1000
226,Lingala,Lingala,ln,"3,27","8,556","121,645",4,"11,719",23,32,37,1000
227,Zamboanga Chavacano,Chavacano de Zamboanga,cbk-zam,"3,125","8,228","110,025",2,"13,463",19,0,36,1000
228,Divehi,ދިވެހިބަސް,dv,"3,018","11,192","129,849",3,"23,249",26,932,85,1000
229,Ripuarian,Ripoarisch,ksh,"2,914","10,534","1,606,768",3,"21,293",14,0,1043,1000
230,Avar,Авар,av,"2,894","14,005","81,501",2,"13,234",29,0,86,1000
231,Gagauz,Gagauz,gag,"2,793","6,57","67,591",1,"12,571",21,0,19,1000
